px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
120.752	12.2458	1.96863	0.119097	0.110089	120.934	12.1905	120.743	12.3289	2.21139	0.128528	0
123.378	12.7888	2.49916	0.287355	0.133032	123.568	12.8297	122.95	12.5114	2.29835	0.246599	8.13249
123.378	12.7888	2.49916	0.287355	0.133032	123.142	12.7694	122.95	12.5114	2.29835	0.246599	0
125.083	12.8825	1.91333	0.18076	0.014286	124.894	12.7743	125.242	12.8125	2.37624	0.369827	10.7429
125.083	12.8825	1.91333	0.18076	0.014286	125.376	12.9964	125.242	12.8125	2.37624	0.369827	0
127.666	13.301	2.43414	0.151124	-0.0062836	127.853	13.3273	127.609	13.2365	2.44434	0.495787	7.75541
127.666	13.301	2.43414	0.151124	-0.0062836	127.506	13.153	127.609	13.2365	2.44434	0.495787	0
129.963	13.6947	2.39207	0.168384	0.00594205	129.947	13.6963	130.042	13.7853	2.50232	0.621879	0.0603663
129.963	13.6947	2.39207	0.168384	0.00594205	130.334	13.781	130.042	13.7853	2.50232	0.621879	0
132.122	14.4737	2.32358	0.357388	0.105918	132.092	14.507	132.53	14.458	2.55028	0.74543	0.867645
132.122	14.4737	2.32358	0.357388	0.105918	132.447	14.3423	132.53	14.458	2.55028	0.74543	0
134.925	15.0477	2.70379	0.192888	-0.0463852	135.074	15.0475	135.066	15.2513	2.58865	0.863795	5.64729
134.925	15.0477	2.70379	0.192888	-0.0463852	135.127	14.6575	135.066	15.2513	2.58865	0.863795	0
137.54	16.1604	2.79388	0.421349	0.1041	137.561	16.2147	137.639	16.1592	2.61821	0.974442	1.74183
137.54	16.1604	2.79388	0.421349	0.1041	137.653	16.5145	137.639	16.1592	2.61821	0.974442	0
140.291	17.0307	2.87126	0.330148	-0.00712049	140.331	17.008	140.242	17.1733	2.63994	1.07503	1.02051
140.291	17.0307	2.87126	0.330148	-0.00712049	140.305	17.5379	140.242	17.1733	2.63994	1.07503	0
142.902	17.9909	2.8362	0.351609	0.00889257	142.888	17.9918	142.868	18.2829	2.65497	1.16346	0.0549749
142.902	17.9909	2.8362	0.351609	0.00889257	142.626	18.1458	142.868	18.2829	2.65497	1.16346	0
145.409	19.1497	2.80375	0.446384	0.0579227	145.392	19.1617	145.51	19.4754	2.66445	1.23795	0.204289
145.409	19.1497	2.80375	0.446384	0.0579227	145.789	19.3785	145.51	19.4754	2.66445	1.23795	0
148.179	20.4487	3.0142	0.460459	0.0316347	148.251	20.4754	148.163	20.7364	2.66951	1.29702	1.30208
148.179	20.4487	3.0142	0.460459	0.0316347	148.146	20.9376	148.163	20.7364	2.66951	1.29702	0
150.693	22.0928	3.02554	0.610941	0.0992818	150.686	22.1142	150.825	22.0502	2.67111	1.33953	0.328559
150.693	22.0928	3.02554	0.610941	0.0992818	150.649	21.8148	150.825	22.0502	2.67111	1.33953	0
153.392	23.5182	3.04724	0.505902	-0.0191601	153.422	23.4909	153.491	23.3999	2.66999	1.3647	1.02383
153.392	23.5182	3.04724	0.505902	-0.0191601	153.466	22.9115	153.491	23.3999	2.66999	1.3647	0
156.053	24.8223	3.01162	0.440523	-0.0461088	156.047	24.8084	156.159	24.7682	2.66666	1.37208	0.0852177
156.053	24.8223	3.01162	0.440523	-0.0461088	156.009	25.0678	156.159	24.7682	2.66666	1.37208	0
158.88	26.0236	3.08185	0.375472	-0.0567336	158.905	26.0308	158.827	26.1372	2.66127	1.36157	0.148674
158.88	26.0236	3.08185	0.375472	-0.0567336	159.014	26.1903	158.827	26.1372	2.66127	1.36157	0
161.457	27.4094	2.9783	0.481027	0.0366048	161.412	27.4256	161.493	27.4891	2.65371	1.33344	0.931809
161.457	27.4094	2.9783	0.481027	0.0366048	161.529	27.8454	161.493	27.4891	2.65371	1.33344	0
163.701	28.7966	2.75628	0.571675	0.0694041	163.625	28.7683	164.155	28.8064	2.64354	1.28825	1.46105
163.701	28.7966	2.75628	0.571675	0.0694041	164.116	29.315	164.155	28.8064	2.64354	1.28825	0
166.687	30.1703	3.13199	0.408402	-0.0667264	166.828	30.2062	166.809	30.0721	2.63006	1.22694	5.37174
166.687	30.1703	3.13199	0.408402	-0.0667264	166.748	29.7121	166.809	30.0721	2.63006	1.22694	0
169.181	31.3895	2.90474	0.426506	-0.0209414	169.097	31.3717	169.452	31.2706	2.61238	1.15075	1.66063
169.181	31.3895	2.90474	0.426506	-0.0209414	169.345	30.7063	169.452	31.2706	2.61238	1.15075	0
172.117	32.3427	3.05154	0.281074	-0.0934134	172.175	32.3404	172.079	32.3873	2.58945	1.06126	0.982574
172.117	32.3427	3.05154	0.281074	-0.0934134	172.135	32.6666	172.079	32.3873	2.58945	1.06126	0
174.708	33.444	2.89063	0.368859	0.00891209	174.643	33.4625	174.685	33.4095	2.56021	0.960341	1.51277
174.708	33.444	2.89063	0.368859	0.00891209	174.474	33.9157	174.685	33.4095	2.56021	0.960341	0
177.106	34.2423	2.65555	0.323693	-0.0211926	177.03	34.2009	177.261	34.3262	2.52363	0.850119	1.65852
177.106	34.2423	2.65555	0.323693	-0.0211926	177.211	33.8467	177.261	34.3262	2.52363	0.850119	0
180.036	35.1133	2.96673	0.271387	-0.0380451	180.145	35.1423	179.799	35.1289	2.47883	0.732949	2.77635
180.036	35.1133	2.96673	0.271387	-0.0380451	179.543	35.4767	179.799	35.1289	2.47883	0.732949	0
182.656	35.7693	2.80588	0.226129	-0.0426948	182.599	35.753	182.292	35.8114	2.42515	0.611338	0.736682
182.656	35.7693	2.80588	0.226129	-0.0426948	182.047	36.2626	182.292	35.8114	2.42515	0.611338	0
184.854	36.5171	2.47499	0.300229	0.0233038	184.732	36.5155	184.73	36.37	2.36226	0.487877	3.43178
184.854	36.5171	2.47499	0.300229	0.0233038	184.833	36.1451	184.73	36.37	2.36226	0.487877	0
187.003	36.9812	2.29526	0.224436	-0.031858	186.946	36.9404	187.103	36.804	2.29017	0.365145	1.16807
187.003	36.9812	2.29526	0.224436	-0.031858	187.296	36.9375	187.103	36.804	2.29017	0.365145	0
189.416	37.4035	2.42817	0.150989	-0.0540248	189.465	37.4052	189.401	37.1147	2.20928	0.245623	0.543661
189.416	37.4035	2.42817	0.150989	-0.0540248	189.738	36.951	189.401	37.1147	2.20928	0.245623	0
191.748	37.5756	2.38827	0.0435367	-0.0831763	191.735	37.5631	191.615	37.3064	2.12037	0.131591	0.105556
191.748	37.5756	2.38827	0.0435367	-0.0831763	191.682	37.1147	191.615	37.3064	2.12037	0.131591	0
193.601	37.3068	2.02964	-0.161276	-0.152522	193.471	37.2789	193.738	37.3853	2.02462	0.0250452	3.99679
193.601	37.3068	2.02964	-0.161276	-0.152522	193.555	37.4234	193.738	37.3853	2.02462	0.0250452	0
195.911	37.3442	2.21368	-0.0179738	0.0102491	195.991	37.3991	195.762	37.3598	1.92349	-0.072386	2.97502
195.911	37.3442	2.21368	-0.0179738	0.0102491	195.507	37.4891	195.762	37.3598	1.92349	-0.072386	0
197.8	37.691	1.99689	0.171682	0.106481	197.725	37.7285	197.683	37.2395	1.81869	-0.159495	1.90201
197.8	37.691	1.99689	0.171682	0.106481	197.582	37.303	197.683	37.2395	1.81869	-0.159495	0
199.396	37.388	1.67304	-0.0743365	-0.0766395	199.294	37.2862	199.497	37.0353	1.71212	-0.235529	5.71156
199.396	37.388	1.67304	-0.0743365	-0.0766395	199.356	37.3527	199.497	37.0353	1.71212	-0.235529	0
201.441	37.0276	1.97462	-0.239452	-0.117753	201.549	36.9973	201.203	36.7587	1.6057	-0.300201	2.78716
201.441	37.0276	1.97462	-0.239452	-0.117753	200.932	37.4694	201.203	36.7587	1.6057	-0.300201	0
203.027	36.4469	1.79592	-0.399077	-0.140715	202.962	36.4568	202.801	36.4212	1.50137	-0.353671	0.938003
203.027	36.4469	1.79592	-0.399077	-0.140715	202.65	37.2445	202.801	36.4212	1.50137	-0.353671	0
204.127	36.1029	1.34749	-0.418193	-0.0829623	203.991	36.1967	204.294	36.0343	1.40095	-0.396497	5.96053
204.127	36.1029	1.34749	-0.418193	-0.0829623	203.809	36.2941	204.294	36.0343	1.40095	-0.396497	0
