px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
4.9611	-12.0652	-2.80877	-0.937421	-0.919589	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929	0.472883
4.84371	-11.9785	-2.82121	-0.952317	-0.890226	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928	0.911853
4.75126	-11.8489	-2.8379	-0.999868	-0.890078	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471	0.157506
4.66178	-11.7225	-2.83944	-1.04164	-0.883262	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247	0.0484573
4.60748	-11.616	-2.71544	-1.08529	-0.87268	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971	5.61476
4.53836	-11.4979	-2.70315	-1.12565	-0.866146	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969	0.287834
4.43191	-11.3202	-2.96038	-1.16364	-0.867761	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032	24.8472
4.39484	-11.1742	-2.95697	-1.22089	-0.881177	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321	0.167575
4.39076	-11.0527	-2.78048	-1.2898	-0.901637	4.43713	-11.024	4.45	-11.05	0	1.81614	11.6635
4.37688	-10.904	-2.76714	-1.35458	-0.916893	4.45136	-10.93	4.45	-10.95	0	1.81612	0.357604
4.35572	-10.7566	-2.75662	-1.40967	-0.921862	4.44745	-10.786	4.45	-10.8	0	2.72555	0.114496
4.36549	-10.6072	-2.74274	-1.47914	-0.940713	4.45788	-10.6457	4.45	-10.65	0	2.72554	0.570308
4.36423	-10.4626	-2.72759	-1.53588	-0.94663	4.46329	-10.5756	4.45	-10.5	0	2.729	0.290483
4.38188	-10.3138	-2.72149	-1.60002	-0.958686	4.44057	-10.3382	4.45	-10.35	0	2.72898	0.229644
4.40514	-10.1693	-2.70183	-1.66429	-0.972129	4.51895	-10.2367	4.5	-10.2	0.908962	2.72687	0.343132
4.45402	-10.0206	-2.70049	-1.73855	-0.992346	4.54925	-10.0439	4.55	-10.05	0.908954	2.72685	0.5567
4.48445	-9.87656	-2.7064	-1.79152	-0.988969	4.63224	-9.9707	4.6	-9.9	0.909756	2.72927	0.410178
4.5489	-9.73129	-2.71042	-1.86463	-1.00683	4.63755	-9.74952	4.65	-9.75	0.909752	2.72926	0.472839
